Researcher,Cancer Cell Biology,Clinical Epidemiology,Breast Cancer Research,T4,Population Health Aspects of Cancer,Chemotherapy,Genetic Aspect of Cancer,Cancer Diagnosis,T9,T10,Cancer Aetiology
JOHN,0.06,0.18,0.06,0.11,0.02,0.18,0.14,0.13,0.07,0.05,0
HEARLD,0.05,0.16,0.06,0.15,0.02,0.16,0.14,0.14,0.07,0.04,0
STANMORE,0.03,0.08,0.05,0.1,0.01,0.08,0.1,0.07,0.04,0.43,0
BURNS,0.07,0.17,0.06,0.14,0.02,0.14,0.13,0.13,0.07,0.06,0.01
MILSON,0.06,0.12,0.09,0.16,0.02,0.14,0.15,0.12,0.07,0.07,0.01
NORRIS,0.05,0.14,0.06,0.12,0.04,0.15,0.13,0.14,0.11,0.07,0.01
BILLY,0.08,0.13,0.06,0.12,0.02,0.15,0.14,0.13,0.11,0.06,0.01
HOWARD,0.06,0.16,0.07,0.12,0.03,0.13,0.17,0.12,0.07,0.07,0
SAXON,0.07,0.15,0.07,0.13,0.04,0.16,0.13,0.14,0.08,0.05,0.01
Average,0.06,0.14,0.06,0.13,0.03,0.14,0.14,0.12,0.08,0.1,0
