Venue,Unnormalized Density
International Journal of Radiation Oncology Biology Physics,619
Journal of Clinical Oncology,543
Journal of Palliative Medicine,528
BMJ Open,361
Journal of Pain and Symptom Management,328
Medical Journal of Australia,306
Pediatric Pulmonology,266
Journal of Adolescent and Young Adult Oncology,255
Lancet Oncology,250
Asia-Pacific Journal of Clinical Oncology,243
Addiction,242
BMJ Supportive and Palliative Care,241
Journal of Viral Hepatitis,228
BMC Palliative Care,228
Australian and New Zealand Journal of Surgery,228
Journal of Medical Imaging and Radiation Oncology,226
Internal Medicine Journal,225
Pediatric Blood Cancer,225
European Journal of Cancer,222
Psycho-Oncology,216
Australian Health Review,208
Thorax,205
Cancer Forum,202
Annals of Oncology,201
Supportive Care in Cancer,200
European Geriatric Medicine,200
PLOS One,200
Cancer Research,192
European Respiratory Journal,191
Cancer,190
Journal of Psychosocial Oncology,185
BMC Health Services Research,182
Journal of Thoracic Oncology,181
Journal of Immunology,180
Immunology and Cell Biology,179
Australian and New Zealand Journal of Public Health,174
Australian Occupational Therapy Journal,171
IEEE Transactions on Nanobioscience,167
International Journal of Palliative Nursing,165
International Journal of Nursing Studies,165
